Ac-223,2.10m,alpha,gamma,monoenergetic_electron,xray,
Ac-224,2.78h,alpha,gamma,monoenergetic_electron,xray,
Ac-225,10.0d,alpha,gamma,monoenergetic_electron,xray,
Ac-226,29.37h,alpha,beta,gamma,monoenergetic_electron,xray
Ac-227,21.772y,alpha,beta,gamma,monoenergetic_electron,xray
Ac-228,6.15h,beta,gamma,monoenergetic_electron,xray,
Ac-230,122s,beta,gamma,monoenergetic_electron,xray,
Ac-231,7.5m,beta,gamma,monoenergetic_electron,xray,
Ac-232,119s,beta,gamma,monoenergetic_electron,xray,
Ac-233,145s,beta,gamma,monoenergetic_electron,xray,
Ag-100m,2.24m,gamma,monoenergetic_electron,positron,xray,
Ag-101,11.1m,gamma,monoenergetic_electron,positron,xray,
Ag-102,12.9m,gamma,monoenergetic_electron,positron,xray,
Ag-102m,7.7m,gamma,monoenergetic_electron,positron,xray,
Ag-103,65.7m,gamma,monoenergetic_electron,positron,xray,
Ag-104,69.2m,gamma,monoenergetic_electron,positron,xray,
Ag-104m,33.5m,gamma,monoenergetic_electron,positron,xray,
Ag-105,41.29d,gamma,monoenergetic_electron,xray,,
Ag-105m,7.23m,gamma,monoenergetic_electron,positron,xray,
Ag-106,23.96m,beta,gamma,monoenergetic_electron,positron,xray
Ag-106m,8.28d,gamma,monoenergetic_electron,xray,,
Ag-108,2.37m,beta,gamma,monoenergetic_electron,positron,xray
Ag-108m,418y,gamma,monoenergetic_electron,xray,,
Ag-109m,39.6s,gamma,monoenergetic_electron,xray,,
Ag-110,24.6s,beta,gamma,monoenergetic_electron,xray,
Ag-110m,249.76d,beta,gamma,monoenergetic_electron,xray,
Ag-111,7.45d,beta,gamma,monoenergetic_electron,xray,
Ag-111m,64.8s,beta,gamma,monoenergetic_electron,xray,
Ag-112,3.130h,beta,gamma,monoenergetic_electron,xray,
Ag-113,5.37h,beta,gamma,monoenergetic_electron,xray,
Ag-113m,68.7s,beta,gamma,monoenergetic_electron,xray,
Ag-114,4.6s,beta,gamma,monoenergetic_electron,xray,
Ag-115,20.0m,beta,gamma,monoenergetic_electron,xray,
Ag-116,2.68m,beta,gamma,monoenergetic_electron,xray,
Ag-117,73.6s,beta,gamma,monoenergetic_electron,xray,
Ag-99,124s,gamma,monoenergetic_electron,positron,xray,
Al-26,7.17E+5y,gamma,monoenergetic_electron,positron,xray,
Al-28,2.2414m,beta,gamma,monoenergetic_electron,xray,
Al-29,6.56m,beta,gamma,monoenergetic_electron,xray,
Am-237,73.0m,alpha,gamma,monoenergetic_electron,xray,
Am-238,98m,alpha,gamma,monoenergetic_electron,positron,xray
Am-239,11.9h,alpha,gamma,monoenergetic_electron,xray,
Am-240,50.8h,alpha,gamma,monoenergetic_electron,xray,
Am-241,432.2y,alpha,gamma,monoenergetic_electron,xray,
Am-242,16.02h,beta,gamma,monoenergetic_electron,xray,
Am-242m,141y,alpha,gamma,monoenergetic_electron,xray,
Am-243,7.37E+3y,alpha,gamma,monoenergetic_electron,xray,
Am-244,10.1h,beta,gamma,monoenergetic_electron,xray,
Am-244m,26m,beta,gamma,monoenergetic_electron,xray,
Am-245,2.05h,beta,gamma,monoenergetic_electron,xray,
Am-246,39m,beta,gamma,monoenergetic_electron,xray,
Am-246m,25.0m,beta,gamma,monoenergetic_electron,xray,
Am-247,23.0m,beta,gamma,monoenergetic_electron,xray,
Ar-37,35.04d,monoenergetic_electron,xray,,,
Ar-39,269y,beta,,,,
Ar-41,109.61m,beta,gamma,monoenergetic_electron,xray,
Ar-42,32.9y,beta,,,,
Ar-43,5.37m,beta,gamma,monoenergetic_electron,xray,
Ar-44,11.87m,beta,gamma,monoenergetic_electron,xray,
As-68,151.6s,gamma,monoenergetic_electron,positron,xray,
As-69,15.23m,gamma,monoenergetic_electron,positron,xray,
As-70,52.6m,gamma,monoenergetic_electron,positron,xray,
As-71,65.28h,gamma,monoenergetic_electron,positron,xray,
As-72,26.0h,gamma,monoenergetic_electron,positron,xray,
As-73,80.30d,gamma,monoenergetic_electron,xray,,
As-74,17.77d,beta,gamma,monoenergetic_electron,positron,xray
As-76,1.0778d,beta,gamma,monoenergetic_electron,xray,
As-77,38.83h,beta,gamma,monoenergetic_electron,xray,
As-78,90.7m,beta,gamma,monoenergetic_electron,xray,
As-79,9.01m,beta,gamma,monoenergetic_electron,xray,
At-204,9.2m,alpha,gamma,monoenergetic_electron,positron,xray
At-205,26.2m,alpha,gamma,monoenergetic_electron,positron,xray
At-206,30.6m,alpha,gamma,monoenergetic_electron,positron,xray
At-207,1.80h,alpha,gamma,monoenergetic_electron,positron,xray
At-208,1.63h,alpha,gamma,monoenergetic_electron,positron,xray
At-209,5.41h,alpha,gamma,monoenergetic_electron,positron,xray
At-210,8.1h,alpha,gamma,monoenergetic_electron,positron,xray
At-211,7.214h,alpha,gamma,monoenergetic_electron,xray,
At-215,1.00E-4s,alpha,gamma,monoenergetic_electron,xray,
At-216,3.00E-4s,alpha,gamma,monoenergetic_electron,xray,
At-217,3.23E-2s,alpha,gamma,monoenergetic_electron,xray,
At-218,1.5s,alpha,beta,,,
At-219,56s,alpha,,,,
At-220,3.71m,alpha,beta,gamma,monoenergetic_electron,xray
Au-186,10.7m,gamma,monoenergetic_electron,positron,xray,
Au-187,8.4m,alpha,gamma,monoenergetic_electron,positron,xray
Au-190,42.8m,gamma,monoenergetic_electron,positron,xray,
Au-191,3.18h,gamma,monoenergetic_electron,positron,xray,
Au-192,4.94h,gamma,monoenergetic_electron,positron,xray,
Au-193,17.65h,gamma,monoenergetic_electron,xray,,
Au-193m,3.9s,gamma,monoenergetic_electron,xray,,
Au-194,38.02h,gamma,monoenergetic_electron,positron,xray,
Au-195,186.098d,gamma,monoenergetic_electron,xray,,
Au-195m,30.5s,gamma,monoenergetic_electron,xray,,
Au-196,6.183d,beta,gamma,monoenergetic_electron,xray,
Au-196m,9.6h,gamma,monoenergetic_electron,xray,,
Au-198,2.69517d,beta,gamma,monoenergetic_electron,xray,
Au-198m,2.27d,gamma,monoenergetic_electron,xray,,
Au-199,3.139d,beta,gamma,monoenergetic_electron,xray,
Au-200,48.4m,beta,gamma,monoenergetic_electron,xray,
Au-200m,18.7h,beta,gamma,monoenergetic_electron,xray,
Au-201,26m,beta,gamma,monoenergetic_electron,xray,
Au-202,28.8s,beta,gamma,monoenergetic_electron,xray,
Ba-124,11.0m,gamma,monoenergetic_electron,positron,xray,
Ba-126,100m,gamma,monoenergetic_electron,positron,xray,
Ba-127,12.7m,gamma,monoenergetic_electron,positron,xray,
Ba-128,2.43d,gamma,monoenergetic_electron,xray,,
Ba-129,2.23h,gamma,monoenergetic_electron,positron,xray,
Ba-129m,2.16h,gamma,monoenergetic_electron,positron,xray,
Ba-131,11.50d,gamma,monoenergetic_electron,xray,,
Ba-131m,14.6m,gamma,monoenergetic_electron,xray,,
Ba-133,10.52y,gamma,monoenergetic_electron,xray,,
Ba-133m,38.9h,gamma,monoenergetic_electron,xray,,
Ba-135m,28.7h,gamma,monoenergetic_electron,xray,,
Ba-137m,2.552m,gamma,monoenergetic_electron,xray,,
Ba-139,83.06m,beta,gamma,monoenergetic_electron,xray,
Ba-140,12.752d,beta,gamma,monoenergetic_electron,xray,
Ba-141,18.27m,beta,gamma,monoenergetic_electron,xray,
Ba-142,10.6m,beta,gamma,monoenergetic_electron,xray,
Be-10,1.51E+6y,beta,,,,
Be-7,53.22d,gamma,monoenergetic_electron,,,
Bi-197,9.3m,gamma,monoenergetic_electron,positron,xray,
Bi-200,36.4m,gamma,monoenergetic_electron,positron,xray,
Bi-201,108m,gamma,monoenergetic_electron,positron,xray,
Bi-202,1.72h,gamma,monoenergetic_electron,positron,xray,
Bi-203,11.76h,gamma,monoenergetic_electron,positron,xray,
Bi-204,11.22h,gamma,monoenergetic_electron,positron,xray,
Bi-205,15.31d,gamma,monoenergetic_electron,positron,xray,
Bi-206,6.243d,gamma,monoenergetic_electron,positron,xray,
Bi-207,32.9y,gamma,monoenergetic_electron,positron,xray,
Bi-208,3.68E+5y,gamma,monoenergetic_electron,xray,,
Bi-210,5.013d,alpha,beta,gamma,monoenergetic_electron,xray
Bi-210m,3.04E+6y,alpha,gamma,monoenergetic_electron,xray,
Bi-211,2.14m,alpha,beta,gamma,monoenergetic_electron,xray
Bi-212,60.55m,alpha,beta,gamma,monoenergetic_electron,xray
Bi-212n,7.0m,beta,,,,
Bi-213,45.59m,alpha,beta,gamma,monoenergetic_electron,xray
Bi-214,19.9m,alpha,beta,gamma,monoenergetic_electron,xray
Bi-215,7.6m,beta,gamma,monoenergetic_electron,xray,
Bi-216,2.17m,beta,gamma,monoenergetic_electron,xray,
Bk-245,4.94d,alpha,gamma,monoenergetic_electron,xray,
Bk-246,1.80d,gamma,monoenergetic_electron,xray,,
Bk-247,1.38E+3y,alpha,gamma,monoenergetic_electron,xray,
Bk-248m,23.7h,beta,gamma,monoenergetic_electron,xray,
Bk-249,330d,alpha,beta,gamma,monoenergetic_electron,xray
Bk-250,3.212h,beta,gamma,monoenergetic_electron,xray,
Bk-251,55.6m,beta,gamma,monoenergetic_electron,xray,
Br-72,78.6s,gamma,monoenergetic_electron,positron,xray,
Br-73,3.4m,gamma,monoenergetic_electron,positron,xray,
Br-74,25.4m,gamma,monoenergetic_electron,positron,xray,
Br-74m,46m,gamma,monoenergetic_electron,positron,xray,
Br-75,96.7m,gamma,monoenergetic_electron,positron,xray,
Br-76,16.2h,gamma,monoenergetic_electron,positron,xray,
Br-76m,1.31s,gamma,monoenergetic_electron,positron,xray,
Br-77,57.036h,gamma,monoenergetic_electron,positron,xray,
Br-77m,4.28m,gamma,monoenergetic_electron,xray,,
Br-78,6.46m,beta,gamma,monoenergetic_electron,positron,xray
Br-80,17.68m,beta,gamma,monoenergetic_electron,positron,xray
Br-80m,4.4205h,gamma,monoenergetic_electron,xray,,
Br-82,35.30h,beta,gamma,monoenergetic_electron,xray,
